Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
2886856,42.5785899,-64.10061246,0.97,0.75,1.665024041,1.665024041,1.665024041,A,A,2,DESI-042.5786-64.1006,42.5786,-64.1006,B
10037700,187.4441283,67.71476366,0.94,0.72,1.406330701,1.406330701,1.406330701,A,B,2,DESI-187.4441+67.7148,187.4441,67.7148,A
10119139,292.2538337,60.15701391,0.95,0.9,1.755396268,1.755396268,1.755396268,A,A,2,DESI-292.2554+60.1567,292.2554,60.1567,A
10136216,100.6529904,56.28639535,0.96,0.77,0.885565548,0.885565548,0.885565548,A,C,2,DESI-100.6530+56.2864,100.653,56.2864,A
10219070,278.8631993,50.35996527,0.9,0.74,1.034971014,1.034971014,1.034971014,B,B,2,DESI-278.8632+50.3600,278.8632,50.36,A
10227126,129.2062822,48.69780088,0.99,0.6,4.075474318,4.075474318,4.075474318,B,B,2,DESI-129.2063+48.6978,129.2063,48.6978,C
10232318,130.7395984,47.5621148,0.96,0.74,3.370593178,3.370593178,3.370593178,C,A,2,DESI-130.7396+47.5621,130.7396,47.5621,C
10339067,148.7285921,37.57219237,0.99,0.9,3.152341424,3.152341424,3.152341424,B,C,2,DESI-148.7286+37.5722,148.7286,37.5722,B
10417092,227.7910475,33.95059201,0.98,0.73,1.084451779,1.084451779,1.084451779,A,C,2,DESI-227.7910+33.9506,227.791,33.9506,A
10444864,347.0778166,32.02929208,0.96,0.7,2.63000091,2.63000091,2.63000091,A,A,2,DESI-347.0778+32.0293,347.0778,32.0293,A
10446316,250.7968614,31.93965043,0.98,0.6,2.331594583,2.331594583,2.331594583,A,C,2,DESI-250.7973+31.9388,250.7973,31.9388,C
10512534,238.1067352,30.15070724,0.98,0.93,1.243004534,1.243004534,1.243004534,A,B,2,DESI-238.1067+30.1507,238.1067,30.1507,A
10519627,241.5121372,29.01383776,0.99,0.94,3.432508175,3.432508175,3.432508175,A,A,2,DESI-241.5121+29.0138,241.5121,29.0138,B
10529398,140.0550162,27.40675754,0.91,0.7,0.782984654,0.782984654,0.782984654,B,C,2,DESI-140.0550+27.4068,140.055,27.4068,A
10529434,268.2061607,27.40004541,0.99,0.88,0.703898516,0.703898516,0.703898516,A,C,2,DESI-268.2062+27.4000,268.2062,27.4,A
10545741,123.6385455,24.76435891,0.98,0.86,1.285979997,1.285979997,1.285979997,A,B,2,DESI-123.6385+24.7644,123.6385,24.7644,B
10624262,16.072618,20.6180612,0.98,0.67,1.287409825,1.287409825,1.287409825,A,B,2,DESI-016.0726+20.6181,16.0726,20.6181,C
10631375,5.493797547,19.46455725,0.95,0.91,2.888634393,2.888634393,2.888634393,B,A,2,DESI-005.4938+19.4646,5.4938,19.4646,B
10721197,116.6481583,13.74017205,0.95,0.86,2.436938139,2.436938139,2.436938139,A,A,2,DESI-116.6482+13.7402,116.6482,13.7402,C
